"name";2007-05-05;2007-06-04;2007-07-04;2007-08-03;2007-09-02;2007-10-02;2007-11-01;2007-12-01;2007-12-31;2008-01-30;2008-02-29;2008-03-30;2008-04-29;2008-05-29;2008-06-28;2008-07-28;2008-08-27;2008-09-26;2008-10-26;2008-11-25;2008-12-25;2009-01-24;2009-02-23;2009-03-25;2009-04-24;2009-05-24;2009-06-23;2009-07-23;2009-08-22;2009-09-21;2009-10-21;2009-11-20;2009-12-20;2010-01-19;2010-02-18;2010-03-20;2010-04-19;2010-05-19;2010-06-18;2010-07-18;2010-08-17;2010-09-16;2010-10-16;2010-11-15;2010-12-15;2011-01-14;2011-02-13;2011-03-15;2011-04-14;2011-05-14;2011-06-13;2011-07-13;2011-08-12;2011-09-11;2011-10-11;2011-11-10;2011-12-10;2012-01-09;2012-02-08;2012-03-09;2012-04-08;2012-05-08;2012-06-07;2012-07-07;2012-08-06;2012-09-05;2012-10-05;2012-11-04;2012-12-04;2013-01-03;2013-02-02;2013-03-04;2013-04-03;2013-05-03;2013-06-02;2013-07-02;2013-08-01;2013-08-31;2013-09-30;2013-10-30;2013-11-29;2013-12-29;2014-01-28;2014-02-27;2014-03-29;2014-04-28;2014-05-28;2014-06-27;2014-07-27;2014-08-26;2014-09-25;2014-10-25;2014-11-24;2014-12-24;2015-01-23;2015-02-22;2015-03-24;2015-04-23;2015-05-23;2015-06-22;2015-07-22;2015-08-21;2015-09-20;2015-10-20;2015-11-19;2015-12-19;2016-01-18;2016-02-17;2016-03-18;2016-04-17;2016-05-17;2016-06-16;2016-07-16;2016-08-15;2016-09-14;2016-10-14;2016-11-13;2016-12-13;2017-01-12;2017-02-11;2017-03-13;2017-04-12;2017-05-12;2017-06-11;2017-07-11;2017-08-10;2017-09-09;2017-10-09;2017-11-08;2017-12-08;2018-01-07;2018-02-06;2018-03-08;2018-04-07;2018-05-07;2018-06-06;2018-07-06;2018-08-05;2018-09-04;2018-10-04;2018-11-03;2018-12-03;2019-01-02
"Halsey";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0015234398;0,0076560387;0,017513823;0,024832409;0,13636356;0,42097702;0,7273216;0,85633015;0,85976481;1,203582;2,6600582;7,2966156;15,678542;22,670866;26,581317;29,783682;33,447923;36,999552;40,252254;43,571047;47,060811;50,690631;53,716477;55,716508;58,027852;61,284191;65,051552;68,422216;71,239971;73,553397;75,077803
"System of a Down";0,045450745;1,8083362;6,4503925;13,622769;20,895708;26,119723;29,589391;32,431886;34,974228;37,026813;38,307599;39,217348;40,436784;42,183889;43,879285;44,825052;45,498149;46,435127;47,532141;48,780362;50,109634;51,387281;52,452758;53,23225;53,862069;54,318845;54,422768;54,271189;54,136056;54,206528;54,395572;54,516132;54,430672;54,203873;53,987697;54,096315;54,613265;55,126527;55,239014;55,021486;54,749381;54,581254;54,832904;56,230482;58,972332;61,356929;61,890965;61,947602;62,110194;62,15845;62,211962;62,431464;63,035621;64,301133;65,645344;66,051278;66,073859;66,904733;68,029504;68,545745;68,348531;67,971083;67,58621;67,202733;66,824922;66,455587;66,086521;65,715717;65,360641;65,060833;64,822405;64,590105;64,311987;63,98661;63,653272;63,339743;63,018982;62,670687;62,31502;61,968626;61,648285;61,371365;61,153571;60,993367;60,830937;60,582801;60,305042;60,103406;60,083044;60,065925;59,963741;59,795508;59,548325;59,262463;58,989213;58,775937;58,586549;58,342051;58,092106;57,891005;57,701024;57,458211;57,298448;57,779699;58,784934;59,730577;60,244832;60,410446;60,491002;60,498171;60,373454;60,151786;59,9144;59,71148;59,574034;59,608818;59,803677;59,887233;59,824687;59,660089;59,575663;59,596053;59,64063;59,604865;59,418249;59,12959;58,889213;58,693451;58,449224;58,139476;57,815139;57,523733;57,30442;57,10739;56,867036;56,599017;56,477719;56,524951;56,597532;56,466882;56,163705;55,850404;55,53383
"In Extremo";0;0;0;0;0;0;0;0;0;0;0,00078890472;0,0067133223;0,01754404;0,026507288;0,26173331;1,420824;3,2004497;4,743811;6,4222563;8,7373088;11,138807;13,077912;14,576225;15,678807;16,306366;17,513278;20,35167;23,621617;25,779123;27,095575;28,820275;30,618125;31,846544;32,454176;32,73104;32,878283;33,051551;33,365841;33,820009;34,179773;34,594323;35,287695;36,039393;36,526345;37,002503;38,505945;41,249924;43,830519;46,560727;50,003227;52,775168;54,403323;55,659243;56,886657;57,657134;57,934567;58,439453;59,032002;59,204337;59,01703;58,727589;58,418896;58,1199;57,813976;57,491833;57,169013;56,8625;56,567363;56,272164;55,972046;55,678814;55,402921;55,132074;54,852468;54,581236;54,462902;54,625467;54,906392;55,062417;55,050268;54,914774;54,728303;54,538748;54,367955;54,224232;54,027082;53,789074;53,598462;53,52742;53,459304;53,375225;53,304696;53,191789;53,021994;52,85028;52,765586;52,71628;52,555994;52,314282;52,06223;51,834178;51,615516;51,396746;51,191348;50,998988;50,915349;51,230974;51,879804;52,204375;52,130867;51,947969;51,791249;51,720403;51,832545;52,17964;52,591792;52,725625;52,742234;52,790108;52,819632;53,315769;54,250061;55,156625;55,465929;55,44724;55,662334;55,810265;55,927787;56,072351;56,083616;55,925571;55,690996;55,44172;55,194123;55,012367;54,822034;54,593607;54,445411;54,515853;54,717341;54,712125;54,621509;54,792557
"Subway to Sally";0;0;0;0;0;0;0,024734066;0,33074491;1,1291018;2,3628441;3,6787897;4,7616893;5,5613238;6,1943161;6,7499855;7,2083678;8,0650581;9,8607204;12,489448;15,150344;17,150747;18,799752;20,411353;21,980278;23,98646;27,159977;31,195529;34,952887;37,996945;40,674744;43,492472;46,493242;49,738832;52,782957;55,113553;56,456404;57,1151;57,579213;57,88349;58,081605;58,583204;59,42273;60,240457;61,06628;62,095749;62,740542;62,704845;62,592168;62,503175;62,318852;62,20847;62,346471;63,047559;64,895136;67,445573;68,992538;69,339288;69,376833;69,352819;69,264367;69,040683;68,687976;68,330237;67,977764;67,613798;67,265745;66,947455;66,611533;66,251494;65,900768;65,566016;65,218793;64,861547;64,509145;64,164709;63,82579;64,343853;66,757654;69,024167;69,56887;69,243634;68,852794;68,469399;68,114511;67,808015;67,488699;67,125088;66,744069;66,365213;65,988507;65,61686;65,256324;64,900489;64,539485;64,174368;63,810099;63,447896;63,08775;62,729648;62,373579;62,019531;61,667493;61,317453;60,9694;60,623322;60,279209;59,937049;59,596831;59,355127;59,273872;59,172822;58,942331;58,633561;58,3231;58,056898;58,052335;58,441794;58,679414;58,585506;58,31137;58,003589;57,700241;57,39395;57,107818;56,896206;56,708653;56,490521;56,266937;56,037485;55,783516;55,519526;55,255814;54,983202;54,713994;54,521801;54,341868;54,102663;53,82952;53,561789;53,317618;53,066561;52,786094;52,489431
"Samsas Traum";0;0;0;0;0;0;0;0;0;0;0,017487503;0,25822441;0,82248965;1,4613509;1,8368602;1,9993179;2,1909219;2,6370988;3,6366991;4,9662369;6,0481161;6,8318165;7,7531041;8,9949226;10,373165;11,476196;12,106075;12,558313;13,084067;13,657638;14,608137;16,689082;19,609157;22,397751;25,513322;29,098137;32,30547;35,048836;37,472588;39,323913;40,565466;41,235512;41,762566;42,852702;44,340412;45,342285;45,705501;46,028345;46,192901;46,454585;47,580232;49,243001;50,757152;52,478102;54,8298;57,165619;58,714074;59,257535;59,211692;59,048796;58,808097;58,528869;58,249669;57,956367;57,6908;57,622489;57,622179;57,550603;57,607648;57,822392;57,937545;57,944304;57,935612;57,873291;57,717806;57,499856;57,255329;56,951528;56,628554;56,307116;55,987503;55,669703;55,354734;55,066914;54,845743;54,62807;54,354316;54,049262;53,742465;53,437409;53,134085;52,832483;52,537232;52,250039;51,966845;51,67983;51,386728;51,095044;50,805016;50,516634;50,229889;49,957678;49,794638;49,70161;49,540334;49,292376;49,01258;48,734372;48,501464;48,553186;48,734152;48,771938;48,837184;49,222975;49,731157;49,89771;49,72456;49,725607;49,859834;49,818575;49,569183;49,287816;49,008046;48,729864;48,453261;48,178228;47,904757;47,636188;47,68531;48,051778;48,41692;48,502629;48,270089;48,037936;47,879014;47,723939;47,511153;47,271966;47,043438;46,985419;47,457537;48,269857;48,876248
"Crystal Castles";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1653986;2,3620116;8,4492308;17,703347;27,484457;36,049967;43,625327;50,893127;56,636675;59,848109;62,039528;63,225274;63,351887;63,067883;62,769187;62,480223;62,210185;61,959432;61,704135;61,439592;61,176121;60,92057;60,651931;60,374463;60,09511;59,811622;59,533885;59,292659;59,054751;58,762856;58,437714;58,106513;57,781722;57,482932;57,212475;56,935593;56,635137;56,320133;56,000505;55,682632;55,366563;55,137515;55,024218;54,903859;54,681066;54,377717;54,069056;53,762146;53,456979;53,153544;52,851831;52,551831;52,253533;51,956929;51,662009;51,368762;51,07718;50,787253;50,498972;50,212327;49,92731;49,64391;49,362118;49,081927;48,803325;48,557461;48,595516;48,705529;48,625379;48,41477;48,222331;48,110838;47,95173;47,704625;47,433842
"Twenty One Pilots";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0079627681;0,78889133;3,5980029;7,2391612;10,336893;12,752867;14,627777;15,889345;16,620263;17,334334;18,70112;20,207122;21,224249;21,876372;22,379998;22,657921;22,696959;22,736732;23,006806;23,303062;23,617256;24,366956;25,571264;26,807592;27,621926;27,78683;27,828391;27,986167;28,529569;30,197986;32,739653;35,58033;38,520718;41,559581;44,065837;45,934638
"Bob Marley & The Wailers";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018761009;0,44086392;1,6684551;3,2083747;4,1542348;4,523842;5,1100309;5,6909627;6,0942549;6,475479;6,8707759;7,244825;7,6193217;8,1613628;8,8435002;9,2310515;9,3783777;9,824452;10,474098;11,226217;12,553224;14,449503;16,558635;18,724827;20,406615;21,245404;21,549942;21,591254;21,638246;21,718616;21,70469;21,708975;21,885078;22,156609;22,309474;22,25097;22,13917;22,361452;22,938087;23,400557;23,634998;24,241653;25,563347;26,955777;27,508359;27,839541;28,60777;29,651053;30,267412;30,224592;30,433358;31,073521;31,6638;31,880955;31,874809;31,810015;31,702927;31,808206;32,890543;35,221163;37,322604;37,939078;37,872853;38,479055;39,78198;40,999723;41,441682;41,250954;41,102345;41,061117;41,054438;40,984233;40,834969;40,855791;41,492823;42,898802;44,043653;44,304429;44,320922;44,883054;46,021736;46,905901;47,258505;47,144472;46,89774;46,703756;46,524349;46,349533;46,286981;46,267985;46,158083;45,932727;45,672001;45,412756;45,167072;44,93942;44,760852;44,731453;44,847827;44,881761;44,917411;45,282136;45,817732
"Lorde";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010255916;0,086153293;0,24888048;0,45351511;0,6432931;0,84901389;1,2046157;1,6487644;2,0379879;2,3705777;2,9635602;3,582051;4,2571639;5,6468172;7,5460201;9,1484973;9,8447278;9,9960347;10,123346;10,194161;10,347659;10,792851;11,360853;11,826204;12,159456;12,317022;12,37248;12,692493;13,525783;14,390122;14,897035;15,106935;15,185551;15,25799;15,389548;15,516933;15,564722;15,512508;15,453032;15,468424;15,533321;15,565613;15,621365;15,750109;16,02774;16,605904;17,387695;17,987843;18,296037;18,392848;18,418532;18,399215;18,32456;18,220545;18,117121;18,771625;22,489948;27,528688;31,912683;34,725028;36,507295;38,587778;40,854705;42,692972
"Nightwish";0;0;0;0;0;0,15625697;1,207869;3,2999962;5,5444281;7,1871699;8,6170009;10,296236;12,005245;13,480509;14,907816;16,544605;17,948917;19,085322;20,572333;22,412283;23,8745;24,807226;25,637312;26,393269;27,002673;27,570269;28,14618;28,634401;29,125474;29,792029;30,603433;31,394316;31,897249;32,066362;32,070869;32,043629;32,051592;32,110765;32,187038;32,184081;32,125847;32,355013;33,194456;34,434419;35,492547;35,933767;36,026785;36,026742;36,097181;36,352426;36,663975;36,793207;36,709386;36,541052;36,522446;38,342237;42,055736;45,017962;46,026835;46,069865;45,947974;45,721988;45,47903;45,260103;45,047512;44,853997;45,048236;45,565916;45,960734;45,911008;45,650406;45,423576;45,410265;45,663589;45,935985;45,913311;45,714738;45,501849;45,310736;45,174698;45,183667;45,259071;45,214912;45,000353;44,755416;44,523982;44,291317;44,050681;43,802199;43,553567;43,306346;43,060528;42,816106;42,573071;42,331416;42,093144;41,87643;41,676065;41,46765;41,241382;41,007285;40,774518;40,543071;40,312939;40,091768;40,08682;40,529132;41,117864;41,342602;41,288078;41,117228;40,889473;40,664154;40,469363;40,33905;40,351518;40,823362;41,729124;42,72975;43,393234;43,661258;43,734343;43,655113;43,474031;43,34796;43,236757;43,194398;43,231375;43,1769;42,992015;42,816559;42,728772;42,649198;42,462763;42,257267;42,086808;41,901342;41,75818;41,768489;41,889741;41,861378;41,711619;41,56447
